ticket_id,config_identifier,router_family,base_model_key,escalation_model_key,memory_mode,ticket_text,gold_label,predicted_category,generated_predicted_category,final_answer,resolution_steps,reasoning,escalated,escalation_flags,parse_error,validation_error,generation_valid,usable_output,raw_response_saved,total_tokens,cost_usd,latency_ms,deterministic_gold_score,manual_quality_score,manual_category_understanding,manual_answer_actionable,manual_answer_complete,manual_resolution_steps_correct,manual_escalation_appropriate,manual_policy_grounded,manual_reviewer_notes,anonymous_system_id,gold_resolution_summary,gold_resolution_steps,gold_acceptance_criteria,gold_review_status,sample_source
17,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,new purchase po purchase po dear purchased received items lite updated include device under user name link please add allocation device thanks please log retrieve old device after receive item please take consideration mandatory receipts section order receive item ordered how video link please make return old device back accessories left receive receive old device take off user name kind regards administrator,Purchase,Purchase,Hardware,"To update the purchase order, log the retrieval of the old device, and ensure the old device is returned with all accessories, follow these steps: 1. Update the purchase order to include the new device under the user's name. 2. Log the retrieval of the old device after receiving the new item. 3. Ensure the old device is returned with all accessories. 4. Remove the old device from the user's name. 5. Confirm the mandatory receipts section is updated with the new device details.","[""Update the purchase order to include the new device under the user's name."", ""Log the retrieval of the old device after receiving the new item."", ""Ensure the old device is returned with all accessories."", ""Remove the old device from the user's name."", ""Confirm the mandatory receipts section is updated with the new device details.""]","The request involves updating a purchase order, logging device retrieval, and ensuring the return of an old device with accessories, which falls under the hardware replacement process.",False,"{""needs_human"": false, ""needs_llm_escalation"": false, ""policy_gap"": false, ""reasons"": []}",,,True,True,True,1289,0.007733999999999,8277.231425978243,0.6401506517931654,7,2,2,1,1,2,1,Acceptable scoring across all dimensions.,System D,Purchase order and device allocation process,"[""Verify requester has access to procurement system."", ""Check PO status (draft, awaiting approval, approved, closed)."", ""Ensure correct cost centre, GL code, and vendor are selected."", ""Guide user through fixing validation errors and resubmitting."", ""Confirm PO approval and share PO number with requester."", ""Raise a request or purchase order according to IT Equipment Procurement Policy."", ""Assign replacement device and ensure asset tag is updated and linked to the user.""]","[""PO is approved and PO number is shared with requester."", ""Replacement device is assigned and asset tag is updated and linked to the user.""]",auto_approved,RouterGym\results\analysis_outputs\gold_resolution_eval\gold_matched_production_outputs.jsonl
17,llm_only__base_llm2__mem_rag_bm25,llm_only,llm2,,rag_bm25,new purchase po purchase po dear purchased received items lite updated include device under user name link please add allocation device thanks please log retrieve old device after receive item please take consideration mandatory receipts section order receive item ordered how video link please make return old device back accessories left receive receive old device take off user name kind regards administrator,Purchase,Purchase,Purchase,Allocate a new device to the user and ensure the old device is returned with all accessories. Follow the hardware replacement process for proper asset management.,"[""Verify access to procurement system."", ""Raise a purchase order for the new device."", ""Assign the new device to the user."", ""Collect and return the old device with accessories."", ""Update asset records.""]","The request involves both purchasing a new device and returning the old one, aligning with the hardware replacement process.",False,"{""needs_human"": false, ""needs_llm_escalation"": false, ""policy_gap"": false, ""reasons"": []}",,,True,True,True,1086,0.003258,4564.984245924279,0.682671460483096,4,0,1,1,1,2,1,Low category alignment.,System B,Purchase order and device allocation process,"[""Verify requester has access to procurement system."", ""Check PO status (draft, awaiting approval, approved, closed)."", ""Ensure correct cost centre, GL code, and vendor are selected."", ""Guide user through fixing validation errors and resubmitting."", ""Confirm PO approval and share PO number with requester."", ""Raise a request or purchase order according to IT Equipment Procurement Policy."", ""Assign replacement device and ensure asset tag is updated and linked to the user.""]","[""PO is approved and PO number is shared with requester."", ""Replacement device is assigned and asset tag is updated and linked to the user.""]",auto_approved,RouterGym\results\analysis_outputs\gold_resolution_eval\gold_matched_production_outputs.jsonl
17,slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,slm_dominant,slm1,llm2,rag_bm25,new purchase po purchase po dear purchased received items lite updated include device under user name link please add allocation device thanks please log retrieve old device after receive item please take consideration mandatory receipts section order receive item ordered how video link please make return old device back accessories left receive receive old device take off user name kind regards administrator,Purchase,Purchase,Purchase,We will create a new purchase order for the requested IT items and initiate the hardware replacement process. Please allow some time for the order to be processed and the replacement device to be allocated.,"[""Create a new purchase order for the requested IT items."", ""Check the status of the purchase order and address any validation errors."", ""Confirm the hardware replacement is justified and check warranty status."", ""Assign a replacement device and update the asset system."", ""Migrate user data from the old device to the new one.""]","The request involves both a new purchase order and hardware replacement, which are covered by separate internal policies.",False,"{""needs_human"": false, ""needs_llm_escalation"": false, ""policy_gap"": false, ""reasons"": []}",,,True,True,True,1389,0.0006945,1857.7223331667483,0.6831851548509836,5,2,1,1,1,2,1,Acceptable scoring across all dimensions.,System C,Purchase order and device allocation process,"[""Verify requester has access to procurement system."", ""Check PO status (draft, awaiting approval, approved, closed)."", ""Ensure correct cost centre, GL code, and vendor are selected."", ""Guide user through fixing validation errors and resubmitting."", ""Confirm PO approval and share PO number with requester."", ""Raise a request or purchase order according to IT Equipment Procurement Policy."", ""Assign replacement device and ensure asset tag is updated and linked to the user.""]","[""PO is approved and PO number is shared with requester."", ""Replacement device is assigned and asset tag is updated and linked to the user.""]",auto_approved,RouterGym\results\analysis_outputs\gold_resolution_eval\gold_matched_production_outputs.jsonl
17,slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,slm_dominant,slm2,llm2,rag_bm25,new purchase po purchase po dear purchased received items lite updated include device under user name link please add allocation device thanks please log retrieve old device after receive item please take consideration mandatory receipts section order receive item ordered how video link please make return old device back accessories left receive receive old device take off user name kind regards administrator,Purchase,Purchase,Hardware,The ticket involves hardware replacement and device allocation. Follow the hardware replacement process to ensure proper handling of old and new devices.,"[""Confirm old device can be returned."", ""Raise PO for new device."", ""Assign new device to user."", ""Migrate data from old to new device.""]","The request pertains to adding a new device and returning an old one, aligning with hardware replacement procedures.",False,"{""needs_human"": false, ""needs_llm_escalation"": false, ""policy_gap"": false, ""reasons"": []}",,,True,True,True,1079,0.0007553000000000001,1259.76955704391,0.6295648139485531,3,0,1,1,0,2,1,Low category alignment.; Low alignment with gold resolution steps.,System E,Purchase order and device allocation process,"[""Verify requester has access to procurement system."", ""Check PO status (draft, awaiting approval, approved, closed)."", ""Ensure correct cost centre, GL code, and vendor are selected."", ""Guide user through fixing validation errors and resubmitting."", ""Confirm PO approval and share PO number with requester."", ""Raise a request or purchase order according to IT Equipment Procurement Policy."", ""Assign replacement device and ensure asset tag is updated and linked to the user.""]","[""PO is approved and PO number is shared with requester."", ""Replacement device is assigned and asset tag is updated and linked to the user.""]",auto_approved,RouterGym\results\analysis_outputs\gold_resolution_eval\gold_matched_production_outputs.jsonl
17,slm_only__base_slm1__mem_rag_bm25,slm_only,slm1,,rag_bm25,new purchase po purchase po dear purchased received items lite updated include device under user name link please add allocation device thanks please log retrieve old device after receive item please take consideration mandatory receipts section order receive item ordered how video link please make return old device back accessories left receive receive old device take off user name kind regards administrator,Purchase,Purchase,Purchase,We will create a new purchase order for the requested IT items and initiate the hardware replacement process. Please allow some time for the order to be processed and the replacement device to be allocated.,"[""Create a new purchase order for the requested IT items."", ""Check the status of the purchase order and address any validation errors."", ""Confirm the purchase order approval and share the PO number with you."", ""Initiate the hardware replacement process for the damaged device."", ""Assign a replacement device and ensure asset tag is updated and linked to your user account.""]","The request involves both a new purchase order and hardware replacement, which are covered by separate internal policies.",False,"{""needs_human"": false, ""needs_llm_escalation"": false, ""policy_gap"": false, ""reasons"": []}",,,True,True,True,1395,0.0006975,3955.372537020594,0.7434117043730476,6,2,1,1,2,2,1,Acceptable scoring across all dimensions.,System A,Purchase order and device allocation process,"[""Verify requester has access to procurement system."", ""Check PO status (draft, awaiting approval, approved, closed)."", ""Ensure correct cost centre, GL code, and vendor are selected."", ""Guide user through fixing validation errors and resubmitting."", ""Confirm PO approval and share PO number with requester."", ""Raise a request or purchase order according to IT Equipment Procurement Policy."", ""Assign replacement device and ensure asset tag is updated and linked to the user.""]","[""PO is approved and PO number is shared with requester."", ""Replacement device is assigned and asset tag is updated and linked to the user.""]",auto_approved,RouterGym\results\analysis_outputs\gold_resolution_eval\gold_matched_production_outputs.jsonl
17,slm_only__base_slm2__mem_rag_bm25,slm_only,slm2,,rag_bm25,new purchase po purchase po dear purchased received items lite updated include device under user name link please add allocation device thanks please log retrieve old device after receive item please take consideration mandatory receipts section order receive item ordered how video link please make return old device back accessories left receive receive old device take off user name kind regards administrator,Purchase,Purchase,Hardware,The ticket involves hardware replacement and device allocation. Follow the hardware replacement process to ensure proper handling of old and new devices.,"[""Confirm old device can be returned."", ""Raise PO for new device."", ""Assign new device to user."", ""Migrate data from old to new device.""]","The request includes adding a new device and returning an old one, which aligns with the hardware replacement process.",False,"{""needs_human"": false, ""needs_llm_escalation"": false, ""policy_gap"": false, ""reasons"": []}",,,True,True,True,1079,0.0007553000000000001,3307.238494977355,0.6295648139485531,3,0,1,1,0,2,1,Low category alignment.; Low alignment with gold resolution steps.,System F,Purchase order and device allocation process,"[""Verify requester has access to procurement system."", ""Check PO status (draft, awaiting approval, approved, closed)."", ""Ensure correct cost centre, GL code, and vendor are selected."", ""Guide user through fixing validation errors and resubmitting."", ""Confirm PO approval and share PO number with requester."", ""Raise a request or purchase order according to IT Equipment Procurement Policy."", ""Assign replacement device and ensure asset tag is updated and linked to the user.""]","[""PO is approved and PO number is shared with requester."", ""Replacement device is assigned and asset tag is updated and linked to the user.""]",auto_approved,RouterGym\results\analysis_outputs\gold_resolution_eval\gold_matched_production_outputs.jsonl
194,llm_only__base_llm1__mem_rag_bm25,llm_only,llm1,,rag_bm25,access to folder folder hello folder please libraries view thank head creative,Storage,Storage,Storage,"To grant access to the 'hello folder' in the libraries, verify the user's permissions and ensure they can access the Microsoft 365 portal. Check the OneDrive sync client status and resolve any sync conflicts. If issues persist, test web access versus synced folder to isolate the problem.","[""Confirm the user can access the Microsoft 365/SSO portal."", ""Check OneDrive sync client status; re-sign in or reset if necessary."", ""Verify SharePoint permissions on the 'hello folder'."", ""Resolve any sync conflicts by renaming or consolidating files.""]","The request involves accessing a specific folder in shared libraries, which falls under storage issues. The KB references provided cover troubleshooting for OneDrive and SharePoint, as well as file permissions management.",False,"{""needs_human"": false, ""needs_llm_escalation"": false, ""policy_gap"": false, ""reasons"": []}",,,True,True,True,1046,0.0062759999999999995,6718.239794950932,0.7281626657694868,7,2,1,1,2,2,2,Acceptable scoring across all dimensions.,System D,Resolve access issue to folder 'hello' in Creative Libraries,"[""1. Confirm user can access Microsoft 365/SSO portal."", ""2. Verify SharePoint permissions on the affected library or folder 'hello'."", ""3. Check OneDrive sync client status; re-sign in or reset if necessary."", ""4. Test web access vs synced folder to isolate client vs service issues."", ""5. Review current ACLs or permission groups for 'hello' folder."", ""6. Apply least-privilege changes to ensure proper access rights."", ""7. Ensure inheritance settings are correct to avoid breaking other folders."", ""8. Ask user to re-test access from their normal workstation.""]","[""User can access folder 'hello' in Creative Libraries without issues."", ""Permissions on 'hello' folder are correctly set according to the least privilege principle.""]",auto_approved,RouterGym\results\analysis_outputs\gold_resolution_eval\gold_matched_production_outputs.jsonl
194,llm_only__base_llm2__mem_rag_bm25,llm_only,llm2,,rag_bm25,access to folder folder hello folder please libraries view thank head creative,Storage,Storage,Storage,"To resolve the issue, confirm the user's access to the Microsoft 365/SSO portal, verify their permissions on the folder, and ensure the OneDrive sync client is functioning correctly. If problems persist, consider testing web access.","[""Confirm user access to Microsoft 365/SSO portal."", ""Verify OneDrive sync client status."", ""Check and adjust SharePoint permissions."", ""Test web access to isolate client issues.""]","The request pertains to accessing a restricted folder, which aligns with storage-related issues involving permissions and access.",False,"{""needs_human"": false, ""needs_llm_escalation"": false, ""policy_gap"": false, ""reasons"": []}",,,True,True,True,935,0.0028049999999999998,4187.621243065223,0.6970244389277983,6,2,1,1,2,2,1,Acceptable scoring across all dimensions.,System B,Resolve access issue to folder 'hello' in Creative Libraries,"[""1. Confirm user can access Microsoft 365/SSO portal."", ""2. Verify SharePoint permissions on the affected library or folder 'hello'."", ""3. Check OneDrive sync client status; re-sign in or reset if necessary."", ""4. Test web access vs synced folder to isolate client vs service issues."", ""5. Review current ACLs or permission groups for 'hello' folder."", ""6. Apply least-privilege changes to ensure proper access rights."", ""7. Ensure inheritance settings are correct to avoid breaking other folders."", ""8. Ask user to re-test access from their normal workstation.""]","[""User can access folder 'hello' in Creative Libraries without issues."", ""Permissions on 'hello' folder are correctly set according to the least privilege principle.""]",auto_approved,RouterGym\results\analysis_outputs\gold_resolution_eval\gold_matched_production_outputs.jsonl
194,slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,slm_dominant,slm1,llm2,rag_bm25,access to folder folder hello folder please libraries view thank head creative,Storage,Storage,Storage,"To access the 'hello folder' in the libraries view, please verify your permissions on the affected library or folder. If necessary, adjust permissions to grant access.","[""Confirm your current permissions on the affected library or folder"", ""Review and adjust permissions as needed to grant access"", ""Test access from your normal workstation""]","The request pertains to accessing a specific folder within a library, which suggests a storage issue related to file permissions.",False,"{""needs_human"": false, ""needs_llm_escalation"": false, ""policy_gap"": false, ""reasons"": []}",,,True,True,True,1164,0.0005819999999999999,1655.1861111074686,0.680361752902029,6,2,1,2,1,2,1,Acceptable scoring across all dimensions.,System C,Resolve access issue to folder 'hello' in Creative Libraries,"[""1. Confirm user can access Microsoft 365/SSO portal."", ""2. Verify SharePoint permissions on the affected library or folder 'hello'."", ""3. Check OneDrive sync client status; re-sign in or reset if necessary."", ""4. Test web access vs synced folder to isolate client vs service issues."", ""5. Review current ACLs or permission groups for 'hello' folder."", ""6. Apply least-privilege changes to ensure proper access rights."", ""7. Ensure inheritance settings are correct to avoid breaking other folders."", ""8. Ask user to re-test access from their normal workstation.""]","[""User can access folder 'hello' in Creative Libraries without issues."", ""Permissions on 'hello' folder are correctly set according to the least privilege principle.""]",auto_approved,RouterGym\results\analysis_outputs\gold_resolution_eval\gold_matched_production_outputs.jsonl
194,slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,slm_dominant,slm2,llm2,rag_bm25,access to folder folder hello folder please libraries view thank head creative,Storage,Storage,Storage,Access issues may stem from permission problems or sync errors. Verify user permissions and check OneDrive status.,"[""Confirm user can access Microsoft 365/SSO portal."", ""Check OneDrive sync client status; re-sign in or reset if necessary.""]","The ticket mentions access to a folder, which aligns with storage and file permissions management issues.",False,"{""needs_human"": false, ""needs_llm_escalation"": false, ""policy_gap"": false, ""reasons"": []}",,,True,True,True,896,0.0006272000000000001,1210.6960299424827,0.6946628393807909,5,2,1,0,2,2,1,Misses key requirements from gold summary/criteria.,System E,Resolve access issue to folder 'hello' in Creative Libraries,"[""1. Confirm user can access Microsoft 365/SSO portal."", ""2. Verify SharePoint permissions on the affected library or folder 'hello'."", ""3. Check OneDrive sync client status; re-sign in or reset if necessary."", ""4. Test web access vs synced folder to isolate client vs service issues."", ""5. Review current ACLs or permission groups for 'hello' folder."", ""6. Apply least-privilege changes to ensure proper access rights."", ""7. Ensure inheritance settings are correct to avoid breaking other folders."", ""8. Ask user to re-test access from their normal workstation.""]","[""User can access folder 'hello' in Creative Libraries without issues."", ""Permissions on 'hello' folder are correctly set according to the least privilege principle.""]",auto_approved,RouterGym\results\analysis_outputs\gold_resolution_eval\gold_matched_production_outputs.jsonl
